"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Plated Onslaught","W","U","78188","6.11","11728","8.64","32455","55.7%","4743","53.8%","7035","55.4%","11778","54.8%","20661","56.3%","-1.5pp"
"Encroaching Mycosynth","U","R","26589","5.65","3322","8.64","490","","89","","116","","205","38.5%","285","42.8%","-4.3pp"
"Kuldotha Cackler","R","C","214471","6.41","38427","8.67","143585","56.1%","24606","55.5%","31227","54.7%","55833","55.0%","87660","56.8%","-1.7pp"
"Blazing Crescendo","R","C","217228","6.50","42879","8.69","165217","56.7%","26506","55.9%","35759","57.2%","62265","56.7%","102889","56.8%","-0.1pp"
"Ichor Synthesizer","U","C","209134","6.37","30190","8.72","104298","50.8%","18675","51.9%","25254","51.1%","43929","51.4%","59896","50.3%","1.2pp"
"Plague Nurse","G","C","203711","5.79","21638","8.78","61999","51.6%","9886","50.1%","13377","51.1%","23263","50.7%","38673","52.1%","-1.4pp"
"Sinew Dancer","W","C","214147","6.19","30147","8.80","97711","55.2%","16862","54.5%","20135","54.3%","36997","54.4%","60661","55.8%","-1.4pp"
"Surgical Skullbomb","","C","219427","6.51","36038","8.81","125590","53.4%","21996","52.5%","30616","55.3%","52612","54.1%","72292","52.8%","1.3pp"
"Bladegraft Aspirant","R","C","213031","6.49","36866","8.86","122556","56.4%","21075","55.5%","25317","54.9%","46392","55.2%","76152","57.1%","-1.9pp"
"Free from Flesh","R","C","218489","6.55","40774","8.86","159029","56.4%","24873","55.4%","34444","55.8%","59317","55.7%","99648","56.9%","-1.2pp"
"Infectious Inquiry","B","C","206650","5.90","21601","8.89","68002","51.8%","11619","49.9%","15370","52.6%","26989","51.4%","40869","52.0%","-0.6pp"
"Sawblade Scamp","R","C","218021","6.68","40540","8.95","135003","54.8%","24164","55.9%","28716","51.5%","52880","53.5%","82012","55.7%","-2.2pp"
